SK_ID_CURR,TARGET
100001,0.05
100005,0.14
100013,0.07
100028,0.03
100038,0.1
100042,0.08
100057,0.05
100065,0.08
100066,0.03
100067,0.22
100074,0.07
100090,0.1
100091,0.17
100092,0.12
100106,0.12
100107,0.2
100109,0.15
100117,0.07
100128,0.14
100141,0.08
100150,0.03
100168,0.06
100169,0.2
100170,0.06
100171,0.14
100172,0.08
100184,0.03
100187,0.13
100212,0.14
100222,0.08
100223,0.12
100232,0.02
100241,0.21
100245,0.07
100253,0.06
100256,0.07
100271,0.05
100278,0.3
100280,0.06
100306,0.21
100311,0.12
100312,0.06
100330,0.2
100331,0.11
100352,0.17
100358,0.15
100367,0.04
100382,0.2
100384,0.1
100385,0.12
100386,0.03
100399,0.03
100404,0.1
100416,0.02
100422,0.15
100426,0.09
100438,0.06
100444,0.21
100445,0.16
100446,0.2
100447,0.05
100450,0.07
100466,0.07
100483,0.02
100484,0.06
100494,0.08
100510,0.17
100512,0.07
100517,0.07
100548,0.1
100551,0.1
100552,0.13
100553,0.1
100561,0.14
100568,0.4
100569,0.08
100591,0.11
100592,0.04
100602,0.14
100607,0.1
100613,0.14
100617,0.14
100618,0.16
100622,0.21
100625,0.17
100677,0.18
100699,0.1
100702,0.35
100711,0.11
100729,0.1
100740,0.14
100744,0.16
100745,0.13
100747,0.13
100751,0.33
100752,0.16
100753,0.19
100754,0.15
100760,0.1
100762,0.08
100763,0.15
100765,0.06
100770,0.17
100772,0.12
100777,0.04
100791,0.06
100792,0.07
100797,0.05
100823,0.08
100826,0.12
100830,0.02
100836,0.22
100872,0.11
100910,0.16
100913,0.28
100918,0.16
100931,0.02
100952,0.14
100953,0.15
100965,0.24
100970,0.04
100982,0.25
100983,0.25
100984,0.04
100987,0.13
100997,0.05
100998,0.27
101002,0.16
101005,0.3
101008,0.22
101020,0.03
101021,0.1
101024,0.17
101025,0.27
101026,0.14
101031,0.04
101041,0.05
101051,0.03
101055,0.12
101056,0.36
101057,0.02
101064,0.12
101079,0.08
101087,0.05
101090,0.11
101092,0.12
101097,0.17
101099,0.05
101107,0.16
101118,0.08
101125,0.08
101126,0.05
101128,0.08
101136,0.19
101140,0.19
101149,0.08
101160,0.04
101169,0.3
101181,0.07
101186,0.03
101190,0.23
101193,0.23
101194,0.24
101198,0.12
101200,0.06
101204,0.07
101211,0.1
101213,0.12
101223,0.07
101225,0.16
101237,0.21
101243,0.12
101244,0.15
101258,0.09
101259,0.17
101268,0.09
101269,0.09
101271,0.13
101279,0.02
101281,0.18
101287,0.04
101292,0.11
101294,0.11
101296,0.1
101297,0.06
101299,0.1
101301,0.12
101305,0.07
101308,0.08
101318,0.04
101327,0.2
101329,0.07
101332,0.12
101337,0.07
101343,0.01
101345,0.05
101346,0.05
101353,0.02
101354,0.16
101355,0.14
101356,0.05
101362,0.11
101363,0.17
101365,0.03
101366,0.11
101367,0.27
101368,0.03
101374,0.18
101380,0.06
101383,0.07
101398,0.03
101399,0.24
101401,0.1
101412,0.12
101426,0.06
101427,0.32
101428,0.22
101429,0.08
